Species_Abv,Common Species Name,Species ,ACQ #,Source,Date Admitted,Date Released,Details of rescue,Disposition,Diagnosis,Survive 
MIKI,,,1-91-001,,6/21/1991,6/30/1991,ORPHANED,RELEASED,,
RTHA,,,2-91-002,,8/2/1991,10/11/1991,S HBC,RELEASED,,
BDOW,,,3-91-003,,11/20/1991,9/11/1993,HBC,RELEASED,,
RTHA,,,4-91-004,,11/20/1991,9/12/1993,HBC,RELEASED,,
EASO,,,5-91-005,,11/29/1991,12/2/1991,COLLISION,DIED,,
EASO,,,6-91-006,,12/19/1991,10/10/1992,HBC,RELEASED,,
EASO,,,7-91-007,,12/21/1991,12/21/1991,HBC,DIED,,
EASO,,,8-91-008,,12/24/1991,10/10/1992,HBC,RELEASED,,
RSHA,,,9-92-001,,1/14/1992,4/20/1997,S COLLISION,NR/EUTHANIZED,,
EASO,,,10-92-002,,2/18/1992,6/2/1992,HBC,RELEASED,,
GHOW,,,11-92-003,,3/6/1992,8/29/1992,ORPHANED,RELEASED,,
GHOW,,,12-92-004,,3/6/1992,8/29/1992,ORPHANED,RELEASED,,
EASO,,,13-92-005,,3/9/1992,5/27/1994,SPP CONFLICT,NR/DIED,,
RTHA,,,14-92-006,EISELL,3/16/1992,,HBC,TRANSFERRED,,
GOEA,,,15-92-007,,3/18/1992,,S COLLISION,TRANSFERRED,,
BAEA,,,16-92-008,,3/19/1992,9/19/2001,S COLLISION,NR/EUTHANIZED,,
EASO,,,17-92-009,,4/4/1992,10/10/1992,HBC,RELEASED,,
RTHA,,,18-92-010,,4/15/1992,4/16/1992,EMACIATION,DIED,,
EASO,,,19-92-011,,4/27/1992,10/10/1992,HBC,RELEASED,,
EASO,,,20-92-012,,5/13/1992,10/18/1992,ORPHANED,RELEASED,,
OSPR,,,21-92-013,,5/16/1992,5/16/1992,EMACIATION,EUTHANIZED,,
RSHA,,,22-92-014,,5/16/1992,11/21/1992,ORPHANED,TRANSFERRED OUT,,
EASO,,,23-92-015,,5/17/1992,10/18/1992,ORPHANED,RELEASED,,
EASO,,,24-92-016,,6/2/1992,10/13/1992,TRAPPED/ENTANGLED,RELEASED,,
EASO,,,25-92-017,,6/3/1992,6/4/1992,COLLISION,DIED,,
RTHA,,,26-92-018,,6/20/1992,6/27/1993,UNKNOWN,RELEASED,,
OSPR,,,27-92-019,,6/29/1992,7/9/1992,UNKNOWN,EUTHANIZED,,
BDOW,,,28-92-020,,8/4/1992,8/4/1992,EMACIATION,DIED,,
BWHA,,,29-92-021,LAURICELLA,8/6/1992,,ORPHANED,NR/EUTHANIZED,,
BDOW,,,30-92-022,,9/6/1992,9/11/1993,S COLLISION,RELEASED,,
EASO,,,31-92-023,,9/21/1992,9/23/1992,S COLLISION,DIED,,
BDOW,,,32-92-024,,9/21/1992,9/11/1993,S COLLISION,RELEASED,,
EASO,,,33-92-025,,9/30/1992,10/18/1992,UNKNOWN,RELEASED,,
TUVU,,,34-92-026,AHNC,10/7/1992,11/9/1999,S COLLISION,NR/DIED,,
RSHA,,,35-92-027,,10/13/1992,12/31/1992,S COLLISION,RELEASED,,
BWHA,,,36-92-028,HOPE - SCDNR,10/15/1992,12/31/2000,S COLLISION,NR/EUTHANIZED,,
BDOW,,,37-92-029,,10/16/1992,9/11/1993,S COLLISION,RELEASED,,
BDOW,,,38-92-030,,10/29/1992,3/6/1993,S COLLISION,RELEASED,,
COHA,,,39-92-031,,11/5/1992,10/24/1993,EMACIATION,RELEASED,,
BDOW,,,40-92-032,,12/17/1992,9/11/1993,S COLLISION,RELEASED,,
EASO,,,41-92-033,,12/18/1992,5/28/1994,S HBC,RELEASED,,
RTHA,,,42-92-034,SUDO,12/18/1992,3/26/1998,TRANSFER IN/S COLLISION,NR/EUTHANIZED,"FX - HUMERUS, L",
