Species_Abv,Common Species Name,Genus,Species ,Patient ID,Date Admitted,Month Admitted,Day Admitted,Year Admitted,Month-Year Admitted,Month Na Admitted,Quarter Admitted,Quarter-Year Admitted,Date Released,Duration of Care,Details of rescue,Disposition,Survive 
MIKI,,,,1-91-001,6/21/1991,6,21,1991,6-1991,Jun,2,2-1991,6/30/1991,9,ORPHANED,RELEASED,
RTHA,,,,2-91-002,8/2/1991,8,2,1991,8-1991,Aug,3,3-1991,10/11/1991,70,S HBC,RELEASED,
BDOW,,,,3-91-003,11/20/1991,11,20,1991,11-1991,Nov,4,4-1991,9/11/1993,661,HBC,RELEASED,
RTHA,,,,4-91-004,11/20/1991,11,20,1991,11-1991,Nov,4,4-1991,9/12/1993,662,HBC,RELEASED,
EASO,,,,5-91-005,11/29/1991,11,29,1991,11-1991,Nov,4,4-1991,12/2/1991,3,COLLISION,DIED,
EASO,,,,6-91-006,12/19/1991,12,19,1991,12-1991,Dec,4,4-1991,10/10/1992,296,HBC,RELEASED,
EASO,,,,7-91-007,12/21/1991,12,21,1991,12-1991,Dec,4,4-1991,12/21/1991,0,HBC,DIED,
EASO,,,,8-91-008,12/24/1991,12,24,1991,12-1991,Dec,4,4-1991,10/10/1992,291,HBC,RELEASED,
RSHA,,,,9-92-001,1/14/1992,1,14,1992,1-1992,Jan,1,1-1992,4/20/1997,1923,S COLLISION,NR/EUTHANIZED,
EASO,,,,10-92-002,2/18/1992,2,18,1992,2-1992,Feb,1,1-1992,6/2/1992,105,HBC,RELEASED,
GHOW,,,,11-92-003,3/6/1992,3,6,1992,3-1992,Mar,1,1-1992,8/29/1992,176,ORPHANED,RELEASED,
GHOW,,,,12-92-004,3/6/1992,3,6,1992,3-1992,Mar,1,1-1992,8/29/1992,176,ORPHANED,RELEASED,
EASO,,,,13-92-005,3/9/1992,3,9,1992,3-1992,Mar,1,1-1992,5/27/1994,809,SPP CONFLICT,NR/DIED,
RTHA,,,,14-92-006,3/16/1992,3,16,1992,3-1992,Mar,1,1-1992,,NA,HBC,TRANSFERRED,
GOEA,,,,15-92-007,3/18/1992,3,18,1992,3-1992,Mar,1,1-1992,,NA,S COLLISION,TRANSFERRED,
BAEA,,,,16-92-008,3/19/1992,3,19,1992,3-1992,Mar,1,1-1992,9/19/2001,3471,S COLLISION,NR/EUTHANIZED,
EASO,,,,17-92-009,4/4/1992,4,4,1992,4-1992,Apr,2,2-1992,10/10/1992,189,HBC,RELEASED,
RTHA,,,,18-92-010,4/15/1992,4,15,1992,4-1992,Apr,2,2-1992,4/16/1992,1,EMACIATION,DIED,
EASO,,,,19-92-011,4/27/1992,4,27,1992,4-1992,Apr,2,2-1992,10/10/1992,166,HBC,RELEASED,
EASO,,,,20-92-012,5/13/1992,5,13,1992,5-1992,May,2,2-1992,10/18/1992,158,ORPHANED,RELEASED,
OSPR,,,,21-92-013,5/16/1992,5,16,1992,5-1992,May,2,2-1992,5/16/1992,0,EMACIATION,EUTHANIZED,
RSHA,,,,22-92-014,5/16/1992,5,16,1992,5-1992,May,2,2-1992,11/21/1992,189,ORPHANED,TRANSFERRED OUT,
EASO,,,,23-92-015,5/17/1992,5,17,1992,5-1992,May,2,2-1992,10/18/1992,154,ORPHANED,RELEASED,
EASO,,,,24-92-016,6/2/1992,6,2,1992,6-1992,Jun,2,2-1992,10/13/1992,133,TRAPPED/ENTANGLED,RELEASED,
EASO,,,,25-92-017,6/3/1992,6,3,1992,6-1992,Jun,2,2-1992,6/4/1992,1,COLLISION,DIED,
RTHA,,,,26-92-018,6/20/1992,6,20,1992,6-1992,Jun,2,2-1992,6/27/1993,372,UNKNOWN,RELEASED,
OSPR,,,,27-92-019,6/29/1992,6,29,1992,6-1992,Jun,2,2-1992,7/9/1992,10,UNKNOWN,EUTHANIZED,
BDOW,,,,28-92-020,8/4/1992,8,4,1992,8-1992,Aug,3,3-1992,8/4/1992,0,EMACIATION,DIED,
BWHA,,,,29-92-021,8/6/1992,8,6,1992,8-1992,Aug,3,3-1992,,NA,ORPHANED,NR/EUTHANIZED,
BDOW,,,,30-92-022,9/6/1992,9,6,1992,9-1992,Sep,3,3-1992,9/11/1993,370,S COLLISION,RELEASED,
EASO,,,,31-92-023,9/21/1992,9,21,1992,9-1992,Sep,3,3-1992,9/23/1992,2,S COLLISION,DIED,
BDOW,,,,32-92-024,9/21/1992,9,21,1992,9-1992,Sep,3,3-1992,9/11/1993,355,S COLLISION,RELEASED,
EASO,,,,33-92-025,9/30/1992,9,30,1992,9-1992,Sep,3,3-1992,10/18/1992,18,UNKNOWN,RELEASED,
TUVU,,,,34-92-026,10/7/1992,10,7,1992,10-1992,Oct,4,4-1992,11/9/1999,2589,S COLLISION,NR/DIED,
RSHA,,,,35-92-027,10/13/1992,10,13,1992,10-1992,Oct,4,4-1992,12/31/1992,79,S COLLISION,RELEASED,
BWHA,,,,36-92-028,10/15/1992,10,15,1992,10-1992,Oct,4,4-1992,12/31/2000,2999,S COLLISION,NR/EUTHANIZED,
BDOW,,,,37-92-029,10/16/1992,10,16,1992,10-1992,Oct,4,4-1992,9/11/1993,330,S COLLISION,RELEASED,
BDOW,,,,38-92-030,10/29/1992,10,29,1992,10-1992,Oct,4,4-1992,3/6/1993,128,S COLLISION,RELEASED,
COHA,,,,39-92-031,11/5/1992,11,5,1992,11-1992,Nov,4,4-1992,10/24/1993,353,EMACIATION,RELEASED,
BDOW,,,,40-92-032,12/17/1992,12,17,1992,12-1992,Dec,4,4-1992,9/11/1993,268,S COLLISION,RELEASED,
EASO,,,,41-92-033,12/18/1992,12,18,1992,12-1992,Dec,4,4-1992,5/28/1994,526,S HBC,RELEASED,
RTHA,,,,42-92-034,12/18/1992,12,18,1992,12-1992,Dec,4,4-1992,3/26/1998,1924,TRANSFER IN/S COLLISION,NR/EUTHANIZED,
EASO,,,,43-92-035,12/21/1992,12,21,1992,12-1992,Dec,4,4-1992,2/9/1993,50,S COLLISION,RELEASED,
BAEA,,,,44-92-036,12/22/1992,12,22,1992,12-1992,Dec,4,4-1992,10/18/1993,300,GUNSHOT,RELEASED,
RTHA,,,,45-92-037,12/22/1992,12,22,1992,12-1992,Dec,4,4-1992,9/12/1993,264,S COLLISION,RELEASED,
BDOW,,,,46-92-038,12/23/1992,12,23,1992,12-1992,Dec,4,4-1992,12/23/1992,0,COLLISION,EUTHANIZED,
RSHA,,,,47-92-039,12/25/1992,12,25,1992,12-1992,Dec,4,4-1992,12/30/1992,5,S COLLISION,DIED,
BAEA,,,,48-92-040,12/31/1992,12,31,1992,12-1992,Dec,4,4-1992,12/7/1993,341,UNKNOWN,RELEASED,
EASO,,,,49-92-041,12/31/1992,12,31,1992,12-1992,Dec,4,4-1992,1/3/1993,3,S COLLISION,DIED,
RTHA,,,,50-93-001,1/9/1993,1,9,1993,1-1993,Jan,1,1-1993,9/12/1993,246,UNKNOWN,RELEASED,
RTHA,,,,51-93-002,1/25/1993,1,25,1993,1-1993,Jan,1,1-1993,6/19/1993,145,HBC,RELEASED,
GHOW,,,,52-93-003,1/26/1993,1,26,1993,1-1993,Jan,1,1-1993,1/26/1993,0,UNKNOWN,DIED,
RTHA,,,,53-93-004,2/4/1993,2,4,1993,2-1993,Feb,1,1-1993,9/12/1993,220,S COLLISION,RELEASED,
GHOW,,,,54-93-005,2/6/1993,2,6,1993,2-1993,Feb,1,1-1993,3/22/1997,1505,HBC,NR/EUTHANIZED,
COHA,,,,55-93-006,2/8/1993,2,8,1993,2-1993,Feb,1,1-1993,2/11/1993,3,S COLLISION,DIED,
RTHA,,,,56-93-007,2/11/1993,2,11,1993,2-1993,Feb,1,1-1993,6/19/1993,128,EMACIATION,RELEASED,
RSHA,,,,57-93-008,2/21/1993,2,21,1993,2-1993,Feb,1,1-1993,,NA,TRAPPED/ENTANGLED,NR/DIED,
RSHA,,,,58-93-009,3/2/1993,3,2,1993,3-1993,Mar,1,1-1993,3/2/1993,0,GUNSHOT,EUTHANIZED,
GHOW,,,,59-93-010,3/10/1993,3,10,1993,3-1993,Mar,1,1-1993,4/4/1993,25,S COLLISION,EUTHANIZED,
GHOW,,,,60-93-011,3/14/1993,3,14,1993,3-1993,Mar,1,1-1993,9/30/1995,930,ORPHANED,RELEASED,
BAEA,,,,61-93-012,3/15/1993,3,15,1993,3-1993,Mar,1,1-1993,4/11/1993,27,ORPHANED,RELEASED,
BAEA,,,,62-93-013,3/15/1993,3,15,1993,3-1993,Mar,1,1-1993,4/11/1993,27,ORPHANED,RELEASED,
BDOW,,,,63-93-014,3/26/1993,3,26,1993,3-1993,Mar,1,1-1993,8/4/2003,3783,S COLLISION,NR/DIED,
EASO,,,,64-93-015,4/9/1993,4,9,1993,4-1993,Apr,2,2-1993,4/19/1993,10,HBC,NR/DIED,
BAEA,,,,65-93-016,4/9/1993,4,9,1993,4-1993,Apr,2,2-1993,5/4/1993,25,ORPHANED,RELEASED,
OSPR,,,,66-93-017,4/11/1993,4,11,1993,4-1993,Apr,2,2-1993,4/25/1993,14,S COLLISION,EUTHANIZED,
BWHA,,,,67-93-018,4/12/1993,4,12,1993,4-1993,Apr,2,2-1993,4/12/1993,0,S COLLISION,EUTHANIZED,
BDOW,,,,68-93-019,4/16/1993,4,16,1993,4-1993,Apr,2,2-1993,4/18/1993,2,TRAPPED/ENTANGLED,EUTHANIZED,
TUVU,,,,69-93-020,4/18/1993,4,18,1993,4-1993,Apr,2,2-1993,3/9/1997,1421,S COLLISION,NR/EUTHANIZED,
BAEA,,,,70-93-021,4/23/1993,4,23,1993,4-1993,Apr,2,2-1993,2/9/1995,657,UNKNOWN,RELEASED,
EASO,,,,71-93-022,4/24/1993,4,24,1993,4-1993,Apr,2,2-1993,9/9/1997,1599,,NR/EUTHANIZED,
BAEA,,,,72-93-023,4/29/1993,4,29,1993,4-1993,Apr,2,2-1993,10/3/1993,157,ORPHANED,EUTHANIZED,
BDOW,,,,73-93-024,5/1/1993,5,1,1993,5-1993,May,2,2-1993,9/11/1993,133,UNKNOWN,RELEASED,
EASO,,,,74-93-025,5/1/1993,5,1,1993,5-1993,May,2,2-1993,4/20/1994,354,S COLLISION,RELEASED,
EASO,,,,75-93-026,5/20/1993,5,20,1993,5-1993,May,2,2-1993,8/7/1993,79,ORPHANED,RELEASED,
EASO,,,,76-93-027,5/20/1993,5,20,1993,5-1993,May,2,2-1993,7/9/1993,50,ORPHANED,RELEASED,
EASO,,,,77-93-028,5/20/1993,5,20,1993,5-1993,May,2,2-1993,8/27/1994,464,ORPHANED,RELEASED,
GHOW,,,,78-93-029,5/22/1993,5,22,1993,5-1993,May,2,2-1993,7/13/1997,1513,UNKNOWN,TRANSFERRED OUT,
BDOW,,,,79-93-030,5/22/1993,5,22,1993,5-1993,May,2,2-1993,,NA,HBC,TRANSFERRED,
EASO,,,,80-93-031,5/26/1993,5,26,1993,5-1993,May,2,2-1993,11/26/1994,549,ORPHANED,RELEASED,
OSPR,,,,81-93-032,5/28/1993,5,28,1993,5-1993,May,2,2-1993,7/4/1994,402,UNKNOWN,EUTHANIZED,
BAEA,,,,82-93-033,5/28/1993,5,28,1993,5-1993,May,2,2-1993,,NA,ORPHANED,TRANSFERRED,
EASO,,,,83-93-034,5/28/1993,5,28,1993,5-1993,May,2,2-1993,8/5/1993,69,ORPHANED,RELEASED,
EASO,,,,84-93-035,5/28/1993,5,28,1993,5-1993,May,2,2-1993,8/5/1993,69,ORPHANED,RELEASED,
EASO,,,,85-93-036,6/8/1993,6,8,1993,6-1993,Jun,2,2-1993,10/9/1993,123,ORPHANED,RELEASED,
GHOW,,,,86-93-037,6/8/1993,6,8,1993,6-1993,Jun,2,2-1993,10/10/1993,124,ORPHANED,RELEASED,
GHOW,,,,87-93-038,6/8/1993,6,8,1993,6-1993,Jun,2,2-1993,2/1/1995,603,ORPHANED,RELEASED,
BNOW,,,,88-93-039,6/15/1993,6,15,1993,6-1993,Jun,2,2-1993,8/5/1993,51,ORPHANED,RELEASED,
EASO,,,,88-93-040,6/15/1993,6,15,1993,6-1993,Jun,2,2-1993,7/14/1993,29,ORPHANED,RELEASED,
RTHA,,,,90-93-041,6/15/1993,6,15,1993,6-1993,Jun,2,2-1993,11/24/1994,527,EMACIATION,RELEASED,
EASO,,,,91-93-042,6/23/1993,6,23,1993,6-1993,Jun,2,2-1993,8/27/1994,430,ORPHANED,RELEASED,
GHOW,,,,92-93-043,6/26/1993,6,26,1993,6-1993,Jun,2,2-1993,4/9/2008,5401,TRAPPED/ENTANGLED,NR/EUTHANIZED,
BNOW,,,,93-93-044,7/12/1993,7,12,1993,7-1993,Jul,3,3-1993,7/14/1993,2,EMACIATION,DIED,
EASO,,,,94-93-045,7/19/1993,7,19,1993,7-1993,Jul,3,3-1993,11/25/2002,3416,HBC,NR/DIED,
OSPR,,,,95-93-046,7/22/1993,7,22,1993,7-1993,Jul,3,3-1993,7/23/1993,1,ORPHANED,RELEASED,
