Case Number,Common Name,Date Admitted,Disposition,Latitude,Longitude,patient_id
18-1,Black Vulture,1/7/2018,Euthanized in 24hr,32.829865,-79.816685,828584
18-2,Eastern Screech-owl,1/5/2018,Euthanized +24hr,33.31788,-80.173903,828585
18-4,Great Blue Heron,1/5/2018,Died +24hr,33.17074,-80.20551,828589
18-5,American Woodcock,1/2/2018,Died in 24hr,33.746269,-78.934848,828590
18-6,Northern Flicker,1/4/2018,Euthanized in 24hr,33.255547,-79.292782,828591
18-8,Ring-billed Gull,1/6/2018,Euthanized in 24hr,33.106213,-80.125188,828594
18-9,Anhinga,1/5/2018,Euthanized +24hr,32.828958,-80.086556,828595
18-10,Wood Stork,1/5/2018,Died +24hr,32.775702,-79.980978,828597
18-11,Bald Eagle,1/7/2018,Died +24hr,33.12034,-80.029211,828600
18-12,Brown Pelican,1/11/2018,Euthanized +24hr,33.797477,-78.724616,829722
18-13,Double-crested Cormorant,1/10/2018,Euthanized +24hr,33.36402,-79.227008,829729
18-14,Barred Owl,1/10/2018,Died in 24hr,32.402688,-80.698393,829733
18-15,Red-tailed Hawk,1/10/2018,Euthanized in 24hr,33.012583,-81.046661,829740
18-16,American Woodcock,1/9/2018,Released,32.79134,-80.03546,829744
18-18,Brown Pelican,1/12/2018,Euthanized in 24hr,33.651198,-78.930625,830263
18-19,American Woodcock,1/11/2018,Euthanized in 24hr,32.785295,-79.934195,830264
18-20,Barred Owl,1/11/2018,Died in 24hr,33.988563,-81.236846,830265
18-22,Bald Eagle,1/12/2018,Died in 24hr,32.198262,-80.897594,830267
18-23,Brown Pelican,1/9/2018,Euthanized +24hr,33.572209,-79.015794,830937
18-24,Brown Pelican,1/8/2018,Euthanized +24hr,33.515609,-79.059779,830938
18-26,Great Horned Owl,1/10/2018,Died +24hr,32.12987,-80.778105,830942
18-28,Brown Pelican,1/11/2018,Euthanized +24hr,32.940169,-79.658132,830949
18-32,American Woodcock,1/7/2018,Released,32.884709,-79.975724,830957
18-33,Barred Owl,1/22/2018,Euthanized in 24hr,33.460024,-79.573357,832892
18-34,Common Loon,1/22/2018,Euthanized in 24hr,32.200936,-80.691745,832900
18-37,Barred Owl,1/22/2018,Euthanized in 24hr,33.695036,-80.234742,832930
18-38,Common Loon,1/23/2018,Died +24hr,33.437632,-79.126443,833172
18-39,Brown Pelican,1/18/2018,Euthanized +24hr,33.651198,-78.930625,834971
18-41,Northern Cardinal,1/4/2018,Died +24hr,32.918632,-79.706001,834975
18-42,Barred Owl,1/16/2018,Euthanized in 24hr,32.812947,-80.096859,834978
18-43,Barred Owl,1/15/2018,Died +24hr,33.107796,-80.861621,834980
18-44,Laughing Gull,1/5/2018,Died +24hr,32.833591,-80.052073,834982
18-46,Brown Pelican,1/16/2018,Euthanized in 24hr,32.703877,-80.248852,834999
18-47,Eastern Screech Owl,1/21/2018,Euthanized in 24hr,32.808199,-79.853492,835004
18-48,Northern Harrier,1/19/2018,Euthanized +24hr,33.494857,-81.200981,835016
18-49,Barred Owl,1/21/2018,Euthanized in 24hr,33.344533,-79.38503,835019
18-50,Red-shouldered Hawk,1/28/2018,Euthanized in 24hr,32.959777,-80.169047,835030
18-52,Cooper's Hawk,1/27/2018,Euthanized in 24hr,31.291636,-82.248638,835041
18-53,Barred Owl,1/5/2018,Released,33.836081,-81.163725,835046
18-56,Barred Owl,1/26/2018,Euthanized in 24hr,33.048138,-80.438762,835059
18-57,Barred Owl,1/11/2018,Released,33.395314,-80.514012,835061
